Signal Legend:

Key        Signal Name

0        = ADCinterface_qsys:ADCinterface|streamtomem_d_in[15..0]
1        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_writedata[15..0]
2        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_addr[31..0]

Data Table:

Signals-> 0   1     2         

sample

290       255 00FFh 000030D5h 
291       255 00FFh 000030D5h 
292       255 00FFh 000030D5h 
293       255 00FFh 000030D5h 
294       255 00FFh 000030D5h 
295       255 00FFh 000030D5h 
296       255 00FFh 000030D5h 
297       255 00FFh 000030D5h 
298       255 00FFh 000030D5h 
299       45  00FFh 000030D5h 
300       8   00FFh 000030D5h 
301       8   00FFh 000030D5h 
302       8   00FFh 000030D5h 
303       8   00FFh 000030D5h 
304       8   00FFh 000030D5h 
305       8   00FFh 000030D5h 
306       8   00FFh 000030D5h 
307       8   00FFh 000030D5h 
308       8   00FFh 000030D5h 
309       8   00FFh 000030D5h 
310       8   00FFh 000030D5h 
311       8   00FFh 000030D5h 
312       8   00FFh 000030D5h 
313       8   00FFh 000030D5h 
314       8   00FFh 000030D5h 
315       8   00FFh 000030D5h 
316       8   00FFh 000030D5h 
317       8   00FFh 000030D5h 
318       8   00FFh 000030D5h 
319       8   00FFh 000030D5h 
320       8   00FFh 000030D5h 
321       8   00FFh 000030D5h 
322       8   00FFh 000030D5h 
323       8   00FFh 000030D5h 
324       234 00FFh 000030D5h 
325       255 00FFh 000030D5h 
326       255 00FFh 000030D5h 
327       255 00FFh 000030D5h 
328       255 00FFh 000030D5h 
329       255 00FFh 000030D5h 
330       255 00FFh 000030D5h 
331       255 00FFh 000030D5h 
332       255 00FFh 000030D5h 
333       255 00FFh 000030D5h 
334       255 00FFh 000030D5h 
335       255 00FFh 000030D5h 
336       255 00FFh 000030D5h 
337       255 00FFh 000030D5h 
338       255 00FFh 000030D5h 
339       255 00FFh 000030D5h 
340       255 00FFh 000030D5h 
341       255 00FFh 000030D5h 
342       255 00FFh 000030D5h 
343       255 00FFh 000030D5h 
344       255 00FFh 000030D5h 
345       255 00FFh 000030D5h 
346       255 00FFh 000030D5h 
347       255 00FFh 000030D5h 
348       255 00FFh 000030D5h 
349       45  00FFh 000030D5h 
350       8   00FFh 000030D5h 
351       8   00FFh 000030D5h 
352       8   00FFh 000030D5h 
353       8   00FFh 000030D5h 
354       8   00FFh 000030D5h 
355       8   00FFh 000030D5h 
356       8   00FFh 000030D5h 
357       8   00FFh 000030D5h 
358       8   00FFh 000030D5h 
359       8   00FFh 000030D5h 
360       8   00FFh 000030D5h 
361       8   00FFh 000030D5h 
362       8   00FFh 000030D5h 
363       8   00FFh 000030D5h 
364       8   00FFh 000030D5h 
365       8   00FFh 000030D5h 
366       8   00FFh 000030D5h 
367       8   00FFh 000030D5h 
368       8   00FFh 000030D5h 
369       8   00FFh 000030D5h 
370       8   00FFh 000030D5h 
371       8   00FFh 000030D5h 
372       8   00FFh 000030D5h 
373       8   00FFh 000030D5h 
374       233 00FFh 000030D5h 
375       255 00FFh 000030D5h 
376       255 00FFh 000030D5h 
377       255 00FFh 000030D5h 
378       255 00FFh 000030D5h 
379       255 00FFh 000030D5h 
380       255 00FFh 000030D5h 
381       255 00FFh 000030D5h 
382       255 00FFh 000030D5h 
383       255 00FFh 000030D5h 
384       255 00FFh 000030D5h 
385       255 00FFh 000030D5h 
386       255 00FFh 000030D5h 
387       255 00FFh 000030D5h 
388       255 00FFh 000030D5h 
389       255 00FFh 000030D5h 
390       255 00FFh 000030D5h 
391       255 00FFh 000030D5h 
392       255 00FFh 000030D5h 
393       255 00FFh 000030D5h 
394       255 00FFh 000030D5h 
395       255 00FFh 000030D5h 
396       255 00FFh 000030D5h 
397       255 00FFh 000030D5h 
398       255 00FFh 000030D5h 
399       45  00FFh 000030D5h 
400       8   00FFh 000030D5h 
401       8   00FFh 000030D5h 
402       8   00FFh 000030D5h 
403       8   00FFh 000030D5h 
404       8   00FFh 000030D5h 
405       8   00FFh 000030D5h 
406       8   00FFh 000030D5h 
407       8   00FFh 000030D5h 
408       8   00FFh 000030D5h 
409       8   00FFh 000030D5h 
410       8   00FFh 000030D5h 
411       8   00FFh 000030D5h 
412       8   00FFh 000030D5h 
413       8   00FFh 000030D5h 
414       8   00FFh 000030D5h 
415       8   00FFh 000030D5h 
416       8   00FFh 000030D5h 
417       8   00FFh 000030D5h 
418       8   00FFh 000030D5h 
419       8   00FFh 000030D5h 
420       8   00FFh 000030D5h 
421       8   00FFh 000030D5h 
422       8   00FFh 000030D5h 
423       8   00FFh 000030D5h 
424       234 00FFh 000030D5h 
425       255 00FFh 000030D5h 
426       255 00FFh 000030D5h 
427       254 00FFh 000030D5h 
428       255 00FFh 000030D5h 
429       255 00FFh 000030D5h 
430       255 00FFh 000030D5h 
431       255 00FFh 000030D5h 
432       255 00FFh 000030D5h 
433       255 00FFh 000030D5h 
434       255 00FFh 000030D5h 
435       255 00FFh 000030D5h 
436       255 00FFh 000030D5h 
437       255 00FFh 000030D5h 
438       255 00FFh 000030D5h 
439       255 00FFh 000030D5h 
440       255 00FFh 000030D5h 
441       255 00FFh 000030D5h 
442       255 00FFh 000030D5h 
443       255 00FFh 000030D5h 
444       255 00FFh 000030D5h 
445       255 00FFh 000030D5h 
